Date,Header,Description,Category,URLS
30 Apr 2020,Thailand to reopen some businesses as new coronavirus cases slow,"[BANGKOK] Thailand will start reopening on Sunday some businesses, such as outdoor markets, barber shops and pet groomers, after the numbers of new coronavirus infections dropped into single digits this week, a government spokesperson said.
",government-economy,https://www.businesstimes.com.sg/government-economy/thailand-to-reopen-some-businesses-as-new-coronavirus-cases-slow
30 Apr 2020,Germany’s new coronavirus cases increase the most in 4 days,"[BERLIN] The number of new coronavirus cases in Germany rose the most in four days as the government considers further steps to ease restrictions on daily life.
",government-economy,https://www.businesstimes.com.sg/government-economy/germany%E2%80%99s-new-coronavirus-cases-increase-the-most-in-4-days
30 Apr 2020,Coronavirus plunges French economy into worst post-war slump,"[PARIS] France saw its sharpest economic contraction since World War II in the first quarter as a lockdown from mid-March left shops shuttered and consumers hunkered down at home, official data showed on Thursday.
",government-economy,https://www.businesstimes.com.sg/government-economy/coronavirus-plunges-french-economy-into-worst-post-war-slump
30 Apr 2020,"South Korea: no new domestic coronavirus cases, no transmission from election","[SEOUL] South Korea on Thursday reported no new domestic coronavirus cases for the first time since February, the Korea Centers for Disease Control and Prevention (KCDC) said.
",government-economy,https://www.businesstimes.com.sg/government-economy/south-korea-no-new-domestic-coronavirus-cases-no-transmission-from-election
30 Apr 2020,Tesla's Elon Musk calling US coronavirus lockdowns 'fascist' overshadows profitable quarter,"[BENGALURU] Tesla's outspoken chief executive officer (CEO) Elon Musk on Wednesday called sweeping US stay-at-home restrictions to curtail the coronavirus outbreak ""fascist"" as the electric carmaker posted its third quarterly profit in a row.
",transport,https://www.businesstimes.com.sg/transport/teslas-elon-musk-calling-us-coronavirus-lockdowns-fascist-overshadows-profitable-quarter
30 Apr 2020,"Boeing to shrink workforce, raise cash as coronavirus slams jet industry","[BENGALURU] Boeing Co said on Wednesday it would cut its 160,000-person workforce by about 10 per cent, further reduce 787 Dreamliner production and try to boost liquidity as it prepares for a years-long industry recovery from the coronavirus pandemic that drove its second consecutive quarterly loss.
",transport,https://www.businesstimes.com.sg/transport/boeing-to-shrink-workforce-raise-cash-as-coronavirus-slams-jet-industry
30 Apr 2020,DBS Q1 profit falls to 2.5-year low on coronavirus loan loss provisions,[SINGAPORE] Singapore's DBS Group Holdings set aside S$1.09 billion to cover the impact of the coronavirus pandemic as South-east Asia's biggest lender reported a 29 per cent fall in first-quarter profit to the lowest in 2.5 years.,companies-markets,https://www.businesstimes.com.sg/companies-markets/dbs-q1-profit-falls-to-25-year-low-on-coronavirus-loan-loss-provisions
30 Apr 2020,Tesla's profit streak not derailed by coronavirus as auto industry braces for losses,"[BENGALURU] Tesla Inc on Wednesday posted its third quarterly profit in a row but said the novel coronavirus was hurting deliveries and lockdown restrictions made it impossible for the electric carmaker to provide guidance for the full year.
",transport,https://www.businesstimes.com.sg/transport/teslas-profit-streak-not-derailed-by-coronavirus-as-auto-industry-braces-for-losses
30 Apr 2020,How the coronavirus crisis differs from other global downturns,"MARK Twain supposedly said: ""History doesn't repeat but rather it rhymes.""
",opinion,https://www.businesstimes.com.sg/opinion/how-the-coronavirus-crisis-differs-from-other-global-downturns
30 Apr 2020,Debate over coronavirus 'immunity passports',"The passports could create other issues - such as, according to research professor Claire Standley, a perverse incentive for people to deliberately infect themselves to obtain a certificate, allowing them to return to work.
",technology,https://www.businesstimes.com.sg/technology/debate-over-coronavirus-immunity-passports
30 Apr 2020,Mastercard sees spending return as economies open after coronavirus gloom,"[NEW YORK] Mastercard said it expects consumer spending to gradually return to ""pre-Covid"" levels as people start using their cards again on clothing and domestic travel with countries easing lockdown measures that have brought the world to a standstill.",consumer,https://www.businesstimes.com.sg/consumer/mastercard-sees-spending-return-as-economies-open-after-coronavirus-gloom
29 Apr 2020,US: Wall St jumps on hopes of potential coronavirus drug,"[NEW YORK] US stocks opened higher on Wednesday after Gilead Sciences gave an encouraging update on a potential Covid-19 treatment, while upbeat earnings reports from Boeing and Google-parent Alphabet added to the sentiment.",stocks,https://www.businesstimes.com.sg/stocks/us-wall-st-jumps-on-hopes-of-potential-coronavirus-drug
29 Apr 2020,Coronavirus hammered US economy in first quarter,"[WASHINGTON] The US economy contracted in the first quarter at its sharpest pace since the Great Recession as stringent measures to slow the spread of the novel coronavirus almost shut down the country, ending the longest expansion in the nation's history.",government-economy,https://www.businesstimes.com.sg/government-economy/coronavirus-hammered-us-economy-in-first-quarter
